Nombre del Barrio o Colonia,Vivendas con 0 NBI,Vivendas con 1 NBI,Vivendas con 2 NBI,Vivendas con 3 NBI,Vivendas con 4+ NBI,total,rank,avrg
COL.LOS ALPES #2,101,32,10,3,0,45,61,1.355555556
COL. MODELO,145,29,8,5,5,47,80,1.70212766
BO. LEMPIRA,262,137,12,1,2,152,172,1.131578947
BO. EL RINCON,135,53,8,2,2,65,83,1.276923077
COL. SAN FRANCISCO,774,327,50,14,4,395,485,1.227848101
COL. MARICHAL,49,14,6,1,0,21,29,1.380952381
BO. SAN JORGE,33,10,1,1,1,13,19,1.461538462
COL. LA PRADERA,559,213,31,9,9,262,338,1.290076336
RES. VENECIA I ETAPA,162,38,8,8,3,57,90,1.578947368
COL. DIVANNA,369,160,23,6,1,190,228,1.2
COL. BRISAS DE OLANCHO,411,138,27,11,4,180,241,1.338888889
COL. 30 DE NOVIEMBRE,345,124,24,8,2,158,204,1.291139241
COL. CANADA,309,139,23,2,0,164,191,1.164634146
COL. BRISAS DEL VALLE,249,112,21,0,0,133,154,1.157894737
COL. LOS SORZALES NO.1,187,82,10,4,0,96,114,1.1875
COL. LA ROSA,498,227,30,1,4,262,306,1.167938931
COL. LOMA LINDA NORTE,281,34,17,18,5,74,142,1.918918919
COL. ALTOS DE LA CABAÑA,121,33,5,1,5,44,66,1.5
URBANIZACION LA CUMBRE,95,24,8,0,3,35,52,1.485714286
BO.  SIMON BOLIVAR,66,25,1,1,2,29,38,1.310344828
COL. ALTOS DE LA SOSA,10,4,1,0,0,5,6,1.2
COL. CAMPAÑA ARRIBA,6,4,0,0,0,4,4,1
UNIVERSIDAD ESTE,8,1,0,1,0,2,4,2
COL. SEMPE,162,54,14,2,1,71,92,1.295774648
COL. SABANAGRANDE,119,37,12,2,0,51,67,1.31372549
BO. SAN PABLO,629,239,46,4,5,294,363,1.234693878
BO. SAN ISIDRO,50,19,5,0,0,24,29,1.208333333
COL. IBERIA,494,192,29,6,4,231,284,1.229437229
COL. LAS PALMAS,932,413,53,5,4,475,550,1.157894737
RES. ALTOS DE MIRAFLORES SUR III ETAPA,101,39,8,1,0,48,58,1.208333333
COL. SAN LUIS,85,35,5,0,1,41,49,1.195121951
COL. LA ESPERANZA,533,204,36,8,1,249,304,1.220883534
BO.  EL CHILE,471,210,30,1,1,242,277,1.144628099
COL. LUIS ANDRES ZUNIGA II ETAPA,325,115,17,5,4,141,180,1.276595745
RES. VILLA DE LAS HADAS,29,7,1,2,0,10,15,1.5
AVE. LA PAZ,9,3,1,0,0,4,5,1.25
COL.LOMA SUR,24,9,0,0,1,10,13,1.3
COL. SUYAPA,412,210,15,1,0,226,243,1.075221239
RES. ZARAHENLA,90,14,1,5,3,23,43,1.869565217
RES.EL TRAPICHE,238,42,10,7,8,67,115,1.71641791
BO. VILLA EL CIRUELO,46,21,1,1,0,23,26,1.130434783
COL.ALTOS DE LA JOYA,36,19,1,0,0,20,21,1.05
BO. JACALEAPA,18,5,0,0,1,6,9,1.5
RES. AZULEJOS DE SAN IGNACIO,6,1,1,0,0,2,3,1.5
COL.JESUS AGUILAR PAZ,52,8,5,1,1,15,25,1.666666667
COL. LARA,91,30,1,1,3,35,47,1.342857143
COL. MONTEREY,718,305,41,2,1,349,397,1.137535817
BO. LA PAGODA,215,76,11,4,1,92,114,1.239130435
BO. ALTOS DEL BOSQUE O 13 DE FEBRER,62,34,1,0,0,35,36,1.028571429
CONDOMINIOS VILLA CASTELAMAR,18,8,1,0,0,9,10,1.111111111
BO. MORAZAN,586,219,20,5,9,253,310,1.225296443
RES. EL SAUCE,60,20,1,3,0,24,31,1.291666667
TRAMO 21 DE OCTUBRE,13,5,1,0,0,6,7,1.166666667
COL. SANTA ISABEL O PALMAS OESTES,260,90,15,4,1,110,136,1.236363636
COL. LA LAGUNA,141,69,5,0,0,74,79,1.067567568
COL. ALAMEDA,173,63,6,1,3,73,90,1.232876712
COL. LAS CANTERAS,118,44,6,2,0,52,62,1.192307692
COL. LOMA VERDE NORTE,30,12,2,0,0,14,16,1.142857143
BO. SALIDA A VALLE DE ANGELES,17,4,0,0,1,5,8,1.6
COL. VILLAS SANTA MONICA,7,4,0,0,0,4,4,1
RES. PALMA REAL,242,75,6,6,4,91,121,1.32967033
BO. GUACERIQUE,68,26,1,1,1,29,35,1.206896552
BO. EL SOCORRO,202,88,5,3,0,96,107,1.114583333
COL. BELLA VISTA NORTE,138,55,7,1,0,63,72,1.142857143
BO. LA JOYA 1,9,5,0,0,0,5,5,1
COL. LAS VEGAS 12,9,5,0,0,0,5,5,1
BO. EL BOSQUE,746,281,38,3,3,325,378,1.163076923
COL. BENDECK,121,49,5,1,0,55,62,1.127272727
RES. ALTOS DE MIRAFLORES SUR II ETAPA,39,13,1,0,1,15,19,1.266666667
BO. EL PEDREGALITO,468,173,23,4,1,201,235,1.169154229
COL. LOMA LINDA SUR,175,58,10,0,2,70,86,1.228571429
COL. LIVERPOOL,152,57,6,1,1,65,76,1.169230769
COL. BETANIA,179,50,1,1,7,59,83,1.406779661
COL. RIVAS,93,34,6,0,0,40,46,1.15
"COL. RES. VILLA SUYAPA (SECTOR I,II",431,90,24,12,5,131,194,1.480916031
COL. RES. LA HACIENDA (PROYECTO,125,46,3,3,0,52,61,1.173076923
BO. SAN CRISTOBAL,130,46,5,1,1,53,63,1.188679245
COL. LAS MINITAS,43,20,1,0,0,21,22,1.047619048
COL. ALTOS DE TILOARQUE,153,32,8,0,5,45,68,1.511111111
COL. TOROCAGUA,859,339,33,1,4,377,424,1.124668435
COL. COOPERATIVA LAS MERCEDES,24,10,1,0,0,11,12,1.090909091
RES.EUCALIPTO,24,10,1,0,0,11,12,1.090909091
COL. ISRAEL SUR,145,31,8,6,0,45,65,1.444444444
RES. SANTA CRUZ,110,36,3,2,1,42,52,1.238095238
COL. POLICARPO PAZ GARCIA,465,164,24,4,0,192,224,1.166666667
CASAMATA,157,55,5,2,1,63,75,1.19047619
COL. ALTOS DE LA DIVANNA,122,49,4,1,0,54,60,1.111111111
BO. SAN FELIPE,32,11,0,0,1,12,15,1.25
BO. GUANACASTE,316,125,12,2,0,139,155,1.115107914
COL. NUEVA AMANECER,106,30,6,1,1,38,49,1.289473684
BO. PERPETUO SOCORRO,548,232,20,0,0,252,272,1.079365079
COL. VILLA DELMY,157,56,8,1,0,65,75,1.153846154
COL. LA PROVIDENCIA,103,41,3,1,0,45,50,1.111111111
BO. EL REPARTO,1317,431,59,9,10,509,616,1.21021611
BARRIO AGUA DULCE 1,56,26,1,0,0,27,28,1.037037037
COL. CERRITO,94,45,1,0,0,46,47,1.02173913
BO. BELEN,622,237,23,3,1,264,296,1.121212121
BO. EL CALVARIO,124,52,4,0,0,56,60,1.071428571
RES. VILLAS LAS MARIAS,50,12,3,0,1,16,22,1.375
COL. RES. LOS MANGOS,9,2,1,0,0,3,4,1.333333333
RES. PARIS,7,1,1,0,0,2,3,1.5
COL. TOWNHOUSE VILLA SOL,5,0,1,0,0,1,2,2
COL. ZAPOTE CENTRO,411,145,17,3,1,166,192,1.156626506
BO. CAMAGUARA,171,62,7,0,1,70,80,1.142857143
LA CASCADA,138,46,5,1,1,53,63,1.188679245
COL. SANTA FE,382,135,18,2,0,155,177,1.141935484
BO. EL MANCHEN,609,214,18,6,3,241,280,1.161825726
RES. VENECIA II ETAPA,117,38,4,1,1,44,53,1.204545455
COL. SMITH  NO. 1,179,61,5,2,1,69,81,1.173913043
COL. MONSEÑOR FIALLOS,341,130,12,0,1,143,158,1.104895105
COL. LA HAYA,248,87,13,0,0,100,113,1.13
BO. LA FUENTE,110,38,6,0,0,44,50,1.136363636
BO. LA ESPERANZA,86,23,5,0,1,29,37,1.275862069
RES. CIUDAD DEL ANGEL,119,29,3,5,0,37,50,1.351351351
BO. EL COCO,117,41,4,1,0,46,52,1.130434783
COL. ALTOS DE MIRAMONTES,293,105,13,0,0,118,131,1.110169492
"COL. CENTROAMERICA ( ETAPA I, II )",313,114,13,0,0,127,140,1.102362205
COL. SAN MIGUEL,1283,418,50,9,4,481,561,1.166320166
COL. LOMA LAS MINITAS,158,43,7,2,1,53,67,1.264150943
BO. VILLA ADELA,333,119,9,2,1,131,147,1.122137405
MONTES DE SINAI,311,93,8,1,5,107,132,1.23364486
COL. PALMIRA,153,45,4,4,0,53,65,1.226415094
COL. LA POPULAR,203,77,5,1,0,83,90,1.084337349
COL. PALERMO,46,21,0,0,0,21,21,1
COL. RES. LUIS LANDA,92,38,0,1,0,39,41,1.051282051
"COL. KENNEDY ( ZONA 1,2,3,4,5,6,)",3203,1210,60,13,8,1291,1401,1.085205267
RES. LA ARBOLEDA,128,32,4,0,3,39,52,1.333333333
COL. ZAPOTE NORTE,234,93,5,0,0,98,103,1.051020408
COL.ARMANDO CALIDONIO,61,16,3,1,0,20,25,1.25
COL. JARDINES DE TONCONTIN,348,102,19,0,1,122,144,1.180327869
COL. ALTOS DEL MILAGRO,78,27,3,0,0,30,33,1.1
RES. VILLAS PALMERAS DE SAN IGNACIO,93,31,4,0,0,35,39,1.114285714
COL. EL COUNTRY,120,36,5,1,0,42,49,1.166666667
BO. CONCEPCION,452,137,16,1,3,157,184,1.171974522
COL.LOMAS DE LOARQUE,53,18,2,0,0,20,22,1.1
RES. ALEMAN,639,174,21,2,8,205,254,1.23902439
BO. LAS DELICIAS,102,36,0,2,0,38,42,1.105263158
RES. EL PORTAL DE LAS FLORES N°1,14,6,0,0,0,6,6,1
RES. ALESSA,7,3,0,0,0,3,3,1
RES. FLORIDA II ETAPA,7,3,0,0,0,3,3,1
COL. HENRY MERRIAN,102,36,3,0,0,39,42,1.076923077
RES. TULIPANES,34,12,1,0,0,13,14,1.076923077
COL. CRISTOBAL DIAZ,61,22,0,1,0,23,25,1.086956522
COL. MIRAFLORES,1136,357,20,3,12,392,454,1.158163265
BO. JARDIN DE LAS MERCEDES,224,77,7,0,0,84,91,1.083333333
COL. JACARANDA,25,8,1,0,0,9,10,1.111111111
COL. PEDREGAL DE SAN JOSE,854,266,28,4,1,299,338,1.130434783
COL. MODESTO RODAS ALVARADO,285,90,10,1,0,101,113,1.118811881
COL. LAS VEGAS 172,56,23,0,0,0,23,23,1
COL. REPUBLICA DE VENEZUELA,417,130,11,2,1,144,162,1.125
COL. FALDAS DEL PEDREGAL,273,73,8,2,2,85,103,1.211764706
COL. VICTOR  F. ARDON,232,91,1,0,0,92,93,1.010869565
BO. SAN RAFAEL,120,42,1,1,0,44,47,1.068181818
COL. LA FRATERNIDAD,127,39,5,0,0,44,49,1.113636364
COL. JARDINES DE LOARQUE,392,151,1,1,0,153,156,1.019607843
COL. SAN JOSE DE LA MONTAÑA,178,54,4,2,0,60,68,1.133333333
RES. VILLA SAN JORGE,25,1,0,1,1,3,8,2.666666667
COL. LA CAMPAÑA O MAYA CENTRO,10,4,0,0,0,4,4,1
COL. RES. LAS COLINAS,644,213,16,0,1,230,249,1.082608696
COL. PUEBLO NUEVO,226,63,8,2,0,73,85,1.164383562
COL. SANTA ANITA O EL QUEBRACHAL,41,9,3,0,0,12,15,1.25
COL. FEHCOVIL,62,22,1,0,0,23,24,1.043478261
BO. LA PEDRERA NO.1,24,7,1,0,0,8,9,1.125
BO. LOS DOLORES,62,19,2,0,0,21,23,1.095238095
BO. PUEBLO NUEVO,62,19,2,0,0,21,23,1.095238095
BO. EL EDEN No 1,111,23,5,2,0,30,39,1.3
BO. LA RONDA,180,60,2,1,0,63,67,1.063492063
RES. LAS UVAS (NOTA: PFF),121,23,1,0,4,28,41,1.464285714
COL. BELLA ORIENTE,479,135,5,2,5,147,171,1.163265306
COL. VILLA NELITA,44,7,4,0,0,11,15,1.363636364
COL. EL HOGAR,351,119,3,0,1,123,129,1.048780488
COL. MIRAMONTES,228,60,1,2,3,66,80,1.212121212
COL. RES. RUBEN ANTUNEZ,19,7,0,0,0,7,7,1
COL. AURORA NO.1,358,101,13,0,0,114,127,1.114035088
COL. LAS VEGAS DEL COUNTRY,246,83,1,0,1,85,89,1.047058824
COL.MONTE FRESCO,516,134,11,5,2,152,179,1.177631579
URBANIZACION LOMA VERDE,44,9,3,0,0,12,15,1.25
COL. VISTA HERMOSA,11,4,0,0,0,4,4,1
COL. MONTELIMAR,72,26,0,0,0,26,26,1
COL. ARTURO QUESADA,1300,344,31,7,4,386,443,1.147668394
COL. BOLIVAR,46,14,1,0,0,15,16,1.066666667
COL. RES. RIO ALTO,17,6,0,0,0,6,6,1
BO. EL OBELISCO,20,7,0,0,0,7,7,1
BO. GUADALUPE,695,196,13,4,0,213,234,1.098591549
COL. EL PROGRESO NO.2,53,10,2,1,0,13,17,1.307692308
COL. ALTOS DE LAS VEGAS,27,7,1,0,0,8,9,1.125
BO. LA LEONA,327,89,6,1,1,97,108,1.113402062
"COL. MIRAFLORES SUR II, III, IV Y V ETAPA",49,7,2,0,1,10,15,1.5
BO. COLINAS,60,18,1,0,0,19,20,1.052631579
COL. SAN ANGEL,647,206,5,0,0,211,216,1.023696682
COL. VILLA ESPAÑOLA,69,16,3,0,0,19,22,1.157894737
BO. EL OLVIDO,49,14,1,0,0,15,16,1.066666667
COL. ALTOS DE LA MAYANGLE,49,14,1,0,0,15,16,1.066666667
RES. LA GRAN VILLA,16,3,1,0,0,4,5,1.25
CONDOMINIOS RIVERA NO.2,15,0,0,0,1,1,4,4
COL. HOLYWOOD,9,3,0,0,0,3,3,1
RES. HAMBURGO,9,3,0,0,0,3,3,1
COL. CERRO GRANDE,2621,665,68,8,3,744,837,1.125
BO. LA HOYA,115,28,2,0,1,31,36,1.161290323
COL. LAS VEGAS FECESITLICH,39,8,2,0,0,10,12,1.2
COL.SANTA ANA,37,12,0,0,0,12,12,1
BO. TILOARQUE  SECTOR I,110,26,4,0,0,30,34,1.133333333
BO. LA PLAZUELA,101,30,1,0,0,31,32,1.032258065
COL. GUAYMURAS,202,62,1,0,0,63,64,1.015873016
COL.VALENCIA,88,28,0,0,0,28,28,1
COL. RES. LOMA ALTA,22,7,0,0,0,7,7,1
RES. LAS UVAS II ETAPA,144,36,4,0,0,40,44,1.1
BO. LA ZARAGOSA,84,20,1,1,0,22,25,1.136363636
COL. LA REFORMA,78,24,0,0,0,24,24,1
COL. HUMUYA,183,47,4,0,0,51,55,1.078431373
COL. LINTON,73,20,1,0,0,21,22,1.047619048
COL. INTERAMERICANA,97,22,1,0,1,24,28,1.166666667
LOTIFICACION ALTOS DE LA LOMA,51,13,1,0,0,14,15,1.071428571
COL. ALTOS DE ELVEL,10,3,0,0,0,3,3,1
RES. EL PORTAL DE LAS FLORES N°2,10,3,0,0,0,3,3,1
COL. HATO DE ENMEDIO (SECTOR 1 AL 1,3081,817,31,2,4,854,901,1.055035129
COL. SAN JOSE DE LA PEÑA,417,116,1,0,1,118,122,1.033898305
COL. 21 DE OCTUBRE,601,159,8,0,0,167,175,1.047904192
ALDEA LA  JOYA,507,122,6,1,2,131,145,1.106870229
RES. EL DORADO,269,50,8,3,0,61,75,1.229508197
COL. GRANADA,229,55,5,0,0,60,65,1.083333333
COL. RES. LAS HADAS,625,114,7,2,9,132,170,1.287878788
COL. LA JOYA,829,191,16,2,1,210,233,1.10952381
COL. ELVEL,80,23,0,0,0,23,23,1
COL. 15 DE SEPTIEMBRE,300,79,1,0,1,81,85,1.049382716
COL. RIO GRANDE NORTE,205,53,1,1,0,55,58,1.054545455
LAS HADAS II ETAPA,45,7,1,1,0,9,12,1.333333333
"COL NUEVA ERA ( ETAPA I, II, III )",228,58,3,0,0,61,64,1.049180328
BO. CENTRO DE COMAYAGUELA,260,54,5,1,1,61,71,1.163934426
BO. BUENOS AIRES,569,129,11,2,0,142,157,1.105633803
"COL. UNIVERSIDAD NORTE(I, II ETAPA)",263,33,6,1,5,45,68,1.511111111
COL. RES. LA CAÑADA,732,123,20,4,5,152,195,1.282894737
COL. RES. LAS JOYAS,76,19,1,0,0,20,21,1.05
BO. LAS PALOMAS,50,14,0,0,0,14,14,1
BO. PLANES DE LA LOMA,26,5,1,0,0,6,7,1.166666667
COL. SATELITE,458,119,4,0,0,123,127,1.032520325
COL. LINDA VISTA O PLANES DEL GUIJA,62,15,1,0,0,16,17,1.0625
COL. SANTO DOMINGO,164,34,5,0,0,39,44,1.128205128
BO. MONCADA,40,11,0,0,0,11,11,1
COL. EL JAZMIN,138,33,2,0,0,35,37,1.057142857
COL. AMERICA,492,103,6,3,1,113,128,1.132743363
BO. ABAJO,200,40,6,0,0,46,52,1.130434783
CONDOMINOS RIVIERA,15,4,0,0,0,4,4,1
RES. ALTOS DE VENECIA,56,10,0,0,1,11,14,1.272727273
COL. RIO GRANDE SUR,196,42,0,0,2,44,50,1.136363636
COL. RESIDENCIAL LA CAÑADA,20,3,1,0,0,4,5,1.25
RES. EL MIRADOR,23,6,0,0,0,6,6,1
COL. SUYAPITA,142,37,0,0,0,37,37,1
COL. RESIDENCIAL PLAZA,1116,254,14,1,0,269,285,1.059479554
COL. CENTRO AMERICA OESTE,1779,430,10,2,0,442,456,1.031674208
COL. RES. ALTA VISTA,43,11,0,0,0,11,11,1
COL. RES. HONDURAS,1050,219,13,0,4,236,261,1.105932203
COL..LOMAS DE MIRAFLORES SUR,132,24,4,0,0,28,32,1.142857143
COL. RES. MONTE CARMELO,66,13,0,1,0,14,16,1.142857143
RES. LAS PALMAS,16,4,0,0,0,4,4,1
CONDOMINIOS ANDREWS ROUUS,4,1,0,0,0,1,1,1
"COL. RES. LOS CALPULES ( I,II, ETAP",533,116,6,1,0,123,131,1.06504065
COL. RES. PRADOS UNIVERSITARIOS,806,178,8,0,1,187,198,1.058823529
COL. FRANCISCO MURILLO SOTO,105,17,4,0,0,21,25,1.19047619
"COL. LOMAS DE TILOARQUE ( I, II ETA",420,92,5,0,0,97,102,1.051546392
COL. RES. LAS VEGAS,90,22,0,0,0,22,22,1
COL. RES. CENTRO AMERICA ESTE,771,164,9,1,0,174,185,1.063218391
COL. ALTOS DE LA MAYANGLE,156,31,1,0,1,33,37,1.121212121
COL. SAN JOSE DE LA VEGA,587,125,4,1,1,131,140,1.06870229
COL. EL SITIO,811,155,13,1,1,170,188,1.105882353
RES. SAN JUAN,323,65,3,0,1,69,75,1.086956522
COL.CASANDRA,97,16,1,0,1,18,22,1.222222222
COL. MONTEREY NORTE,108,21,2,0,0,23,25,1.086956522
COL. EL PRADO,185,36,3,0,0,39,42,1.076923077
COL. LOMAS DEL COUNTRY,123,26,1,0,0,27,28,1.037037037
COL. VILLA CENTRO AMERICANA ( III E,282,58,3,0,0,61,64,1.049180328
RES. EL MOLINON,201,40,1,1,0,42,45,1.071428571
COL. RES. CENTRO AMERICA ESTE ( ANE,67,13,1,0,0,14,15,1.071428571
COL. ALTOS DE JARDINES DE LOARQUE,53,12,0,0,0,12,12,1
BO. EL JAZMIN,31,7,0,0,0,7,7,1
COL. RES. TONCONTIN,757,158,5,0,0,163,168,1.030674847
COL. EL MIRADOR,63,14,0,0,0,14,14,1
COL. EL CASTAÑO,20,0,2,0,0,2,4,2
RES. PUERTA DEL SOL,9,2,0,0,0,2,2,1
COL. MIRAFLORES SUR,265,53,1,1,0,55,58,1.054545455
COL. BERNARDO DAZZI,150,33,0,0,0,33,33,1
COL. NUEVO LOARQUE,97,19,1,0,0,20,21,1.05
COL. RES. FRANCISCO MORAZAN,861,158,12,1,0,171,185,1.081871345
COL. VILLAS DEL RIO,72,12,0,1,0,13,15,1.153846154
COL. LINDA VISTA CENTRO,14,3,0,0,0,3,3,1
COL. RES. ALTOS DEL TRAPICHE,615,89,11,5,0,105,126,1.2
COL. ARGENTINA,33,7,0,0,0,7,7,1
COL. BETHEL O DIOS PROVEERA,91,17,1,0,0,18,19,1.055555556
COL. LOMAS DEL CORTIJO,263,46,4,0,0,50,54,1.08
COL. EL TRIANGULO,49,8,1,0,0,9,10,1.111111111
RES. PORTAL DEL BOSQUE,182,31,3,0,0,34,37,1.088235294
COL. LOMAS DEL HATILLO,45,7,1,0,0,8,9,1.125
COL. BRISAS DEL CORTIJO,60,10,1,0,0,11,12,1.090909091
RES. CONDOMINIOS VIERA,59,12,0,0,0,12,12,1
RES. LOS PORTALES,115,21,1,0,0,22,23,1.045454545
"COL RES. LOS GIRASOLES ( I, II, III",315,59,2,0,0,61,63,1.032786885
RES. NORTE FRESCO,46,7,1,0,0,8,9,1.125
COL. RES. BUENA VISTA,15,3,0,0,0,3,3,1
CONDOMINIOS SAIN O NORE,5,1,0,0,0,1,1,1
COL. FLORENCIA SUR,78,13,1,0,0,14,15,1.071428571
COL. EL ALAMO,228,44,0,0,0,44,44,1
COL. LA PRIMAVERA,237,40,1,1,0,42,45,1.071428571
COL. ROMA O COVIDEPROL,47,9,0,0,0,9,9,1
COL. RES. GLORIA A DIOS,21,4,0,0,0,4,4,1
COL. LOARQUE SUR,191,27,0,0,2,29,35,1.206896552
ERENDIDA,59,11,0,0,0,11,11,1
COL. VILLA ESMERALDA,61,9,1,0,0,10,11,1.1
COL. FLORENCIA NORTE,265,45,0,1,0,46,48,1.043478261
COL. LAS VEGAS DEL RIO,77,14,0,0,0,14,14,1
COL. TRES CAMINOS,299,52,1,0,0,53,54,1.018867925
COL. LOMAS DE JACALEAPA,326,59,0,0,0,59,59,1
LOARQUE SUR III ETAPA,69,9,0,1,0,10,12,1.2
COL LOS ANGELES,152,27,0,0,0,27,27,1
RES. VILLAS SAN RAFAEL,17,3,0,0,0,3,3,1
COL. RES. CENTRO AMERICA ESTE (IV E,365,59,0,0,1,60,63,1.05
RES. LOS LIRIOS,46,8,0,0,0,8,8,1
COL. MARIA CRISTINA,53,7,1,0,0,8,9,1.125
COL.LOS ROBLES,651,100,4,1,0,105,111,1.057142857
RES. LA CONCEPCION,135,23,0,0,0,23,23,1
COL. RES. EL JARDIN,18,3,0,0,0,3,3,1
COL. FUENTE MIRAFLORES,12,2,0,0,0,2,2,1
RES. CAMINO AL HATILLO,6,1,0,0,0,1,1,1
VILLA LOS PINOS,6,1,0,0,0,1,1,1
COL. SAN JOSE DE LOS LLANOS,601,97,1,0,0,98,99,1.010204082
COL. RES. VILLA DELMY,80,13,0,0,0,13,13,1
COL. LAS LOMAS DEL GUIJARRO,266,41,1,0,0,42,43,1.023809524
COL. RES. VILLA AURORA,37,6,0,0,0,6,6,1
COL. LA CAMPAÑA,175,28,0,0,0,28,28,1
RES. VILLA MEDITERRANEA,25,4,0,0,0,4,4,1
RES. VILLA LOS OLMOS,25,4,0,0,0,4,4,1
LOMAS DE SAN JOSE II ETAPA,97,12,0,1,0,13,15,1.153846154
COL. EUGENIO MATUTE CANIZALES,116,18,0,0,0,18,18,1
RES. FLORIDA I ETAPA,13,2,0,0,0,2,2,1
COL. RES. MAYA,215,24,4,0,0,28,32,1.142857143
COL. JARDINES DE MIRAFLORES,113,17,0,0,0,17,17,1
COL BERNARDO DAZZI   I  Y  II ETAPA,68,10,0,0,0,10,10,1
COL. RES. LOMAS DE SAN JOSE,152,20,1,0,0,21,22,1.047619048
COL. LAS GRANJITAS,90,13,0,0,0,13,13,1
RES.LOMAS DE NAUVOO,191,23,0,0,1,24,27,1.125
RES. VILLAS LAS ACACIAS,35,5,0,0,0,5,5,1
LOTIFICACION PLAZA JOYA,7,1,0,0,0,1,1,1
COL. ALTOS DE LA JOYA,7,1,0,0,0,1,1,1
RES. VILLA CORINTO,7,1,0,0,0,1,1,1
VILLA SANTA ISABEL,7,1,0,0,0,1,1,1
COL. SANTA CECILIA  NO.1,58,6,1,0,0,7,8,1.142857143
COL. LA ALHAMBRA,22,3,0,0,0,3,3,1
COL. MARADIAGA,92,12,0,0,0,12,12,1
COL . EL HATO O SAN IGNACIO,226,26,0,1,0,27,29,1.074074074
COL. VILLAS DE TILOARQUE,47,6,0,0,0,6,6,1
COL. VILLA LOS REYES,64,8,0,0,0,8,8,1
COL. RES. LEMPIRA,348,36,1,0,1,38,42,1.105263158
RES. ALTOS DE MIRAFLORES SUR,17,2,0,0,0,2,2,1
RES. VIENA,17,2,0,0,0,2,2,1
CONDOMINIOS CASA DORAL,17,2,0,0,0,2,2,1
COL. LOS MOLINOS ( PROYECTO ),140,16,0,0,0,16,16,1
COL. RES. SANTA MARIA,393,38,3,0,0,41,44,1.073170732
COL. ALTOS DE TONCONTIN,98,11,0,0,0,11,11,1
RES.VILLAS UNIVERSITARIAS NO.2,74,8,0,0,0,8,8,1
COL. RES. AEREOPUERTO,37,4,0,0,0,4,4,1
COL. VILLA CENTRO AMERICA,28,3,0,0,0,3,3,1
I.P.M.,79,8,0,0,0,8,8,1
RES. VILLAS DEL MIRADOR,10,1,0,0,0,1,1,1
VILLA FLORENCIA,10,1,0,0,0,1,1,1
COL. RES. ALTOS DE LAS COLINAS,116,11,0,0,0,11,11,1
CONDOMINIOS OLIMPUS,32,3,0,0,0,3,3,1
ROBLE ALTO,80,7,0,0,0,7,7,1
COL. RES. VILLA UNIVERSITARIA I ETA,196,17,0,0,0,17,17,1
COL. CASAVOLA,24,2,0,0,0,2,2,1
COL. SANTO TOMAS,12,1,0,0,0,1,1,1
COL. VIERA,115,9,0,0,0,9,9,1
COL. COVESPUL,86,6,0,0,0,6,6,1
COL. PARCALTAGUA,29,2,0,0,0,2,2,1
COL. RES. MAYA CENTRO,31,2,0,0,0,2,2,1
COL. CIUDAD JARDIN,32,2,0,0,0,2,2,1
COL. INESTROZA,16,1,0,0,0,1,1,1
COL.AURORA NO.2,54,3,0,0,0,3,3,1
RES. VILLA BENETON,18,1,0,0,0,1,1,1
COL. RES. ATLANTIS,20,1,0,0,0,1,1,1
COL. MIRADOR DE LOARQUE,25,1,0,0,0,1,1,1
COL. PAYAQUI,52,2,0,0,0,2,2,1
CONDOMINIOS EL COUNTRY,27,1,0,0,0,1,1,1
COL. RES. MONTE VERDE,73,2,0,0,0,2,2,1
COL. REPARTO MANDOFER,9,0,0,0,0,0,0,0
COL. SAN RAFAEL,21,0,0,0,0,0,0,0
COL. ESTIQUIRIN,2,0,0,0,0,0,0,0
ALDEA S.O.S.,1,0,0,0,0,0,0,0
RES. LOMAS DE CARRARA,8,0,0,0,0,0,0,0
RES. VILLA DANIA,6,0,0,0,0,0,0,0
COL. LOS ENSUEÑOS,5,0,0,0,0,0,0,0
RES. VILLA EVELIN,5,0,0,0,0,0,0,0
COL. VILLAS SAN JOSE,11,0,0,0,0,0,0,0
CONDOMINIOS VILLA SAN DIEGO,7,0,0,0,0,0,0,0
CONDOMINIOS RIVERA NO.1,13,0,0,0,0,0,0,0
CONDOMINIOS VENECIA,11,0,0,0,0,0,0,0
BO. MONTECILLO,5,0,0,0,0,0,0,0
